Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,FDY11,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,-164.726,6.71,67.51,4.3
Regular,FDI48,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,-164.817,11.85,50.57,4.3
Regular,FDY47,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,-164.908,8.6,128.83,4.3
Regular,FDR59,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,-165,14.5,263.26,4.3
Regular,FDY01,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,-165.091,11.8,116.78,4.3
Regular,FDV04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-165.183,7.83,159.03,4.3
Regular,FDR52,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-165.274,12.65,192.38,4.3
Regular,FDH17,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-165.366,16.2,95.87,4.3
Regular,FDE17,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-165.457,20.1,151.34,4.3
Regular,FDA07,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,-165.548,7.55,123.91,4.3
Regular,FDE20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,-165.64,11.35,168.28,4.3
Regular,FDK20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,-165.731,12.6,124.31,4.3
Regular,FDA55,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,-165.823,17.2,222.51,4.3
Regular,FDW07,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,-165.914,18,88.25,4.3
Regular,FDW32,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,-166.005,18.35,83.99,4.3
Regular,FDC08,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,-166.097,19,226.17,4.3
Regular,FDM51,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,-166.188,11.8,102.47,4.3
Regular,FDR27,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,-166.28,15.1,133.79,4.3
Regular,FDJ10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-166.371,5.1,140.38,4.3
Regular,FDK10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-166.463,5.79,180.47,4.3
Regular,FDL57,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-166.554,15.1,260.33,4.3
Regular,FDN34,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-166.645,15.6,170.61,4.3
Regular,FDC34,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-166.737,16,154.6,4.3
Regular,DRB13,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,-166.828,6.12,189.25,4.3
Regular,DRZ11,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,-166.92,8.85,122.04,4.3
Regular,DRL01,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,-167.011,19.5,232.9,4.3
LF,FDN09,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-167.103,14.15,245.38,4.3
LF,DRD25,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,-167.194,6.14,111.29,4.3
Low Fat,FDH48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-167.285,13.5,84.55,4.3
Low Fat,FDL36,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-167.377,15.1,88.48,4.3
Low Fat,FDZ48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-167.468,17.75,113.15,4.3
Low Fat,FDO60,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-167.56,20,43.41,4.3
Low Fat,FDK38,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,-167.651,6.65,150.07,4.3
Low Fat,DRG27,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,-167.742,8.9,42.01,4.3
Low Fat,DRF27,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,-167.834,8.93,151.43,4.3
Low Fat,FDB15,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,-167.925,10.9,264.36,4.3
Low Fat,DRE03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,-168.017,19.6,48.57,4.3
Low Fat,FDL16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-168.108,12.85,46.41,4.3
Low Fat,FDF05,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-168.2,17.5,262.59,4.3
Low Fat,FDB21,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-168.291,7.48,241.69,4.3
Low Fat,FDD09,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-168.382,13.5,179.6,4.3
Low Fat,FDG57,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-168.474,14.7,48.5,4.3
Low Fat,FDX19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-168.565,19.1,234.5,4.3
Low Fat,DRQ35,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,-168.657,9.3,121.94,4.3
Low Fat,NCP29,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,-168.748,8.42,65.82,4.3
Low Fat,NCR53,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,-168.839,12.15,224.44,4.3
Low Fat,NCQ53,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,-168.931,17.6,237.06,4.3
Low Fat,NCT42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,-169.022,5.88,150.34,4.3
Low Fat,NCT30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,-169.114,9.1,47.47,4.3
Low Fat,NCI06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,-169.205,11.3,179.87,4.3
Low Fat,NCK30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,-169.297,14.85,253.07,4.3
Low Fat,NCW06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,-169.388,16.2,191.62,4.3
Low Fat,NCI42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,-169.479,18.75,209.5,4.3
Low Fat,NCV30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,-169.571,20.2,61.45,4.3
Low Fat,NCP06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,-169.662,20.7,149.84,4.3
Low Fat,FDN15,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,-169.754,17.5,138.52,4.3
Low Fat,NCN19,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,-169.845,13.1,191.35,4.3
Low Fat,FDX21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-169.936,7.05,107.49,4.3
Low Fat,FDT58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-170.028,9,168.08,4.3
Low Fat,FDT22,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-170.119,10.4,59.02,4.3
Low Fat,FDY45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-170.211,17.5,255.14,4.3
Low Fat,FDU34,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-170.302,18.25,123.1,4.3
Low Fat,FDN21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-170.394,18.6,160.62,4.3
Low Fat,FDO58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-170.485,19.6,163.75,4.3
Low Fat,DRG49,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,-170.576,7.81,242.65,4.3
Low Fat,DRE48,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,-170.668,8.43,196.08,4.3
Low Fat,DRI49,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,-170.759,14.15,82.43,4.3
Low Fat,DRD13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,-170.851,15,65.72,4.3
Low Fat,DRI37,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,-170.942,15.85,57.39,4.3
Low Fat,DRG13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,-171.033,17.25,163.75,4.3
Regular,FDX48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-171.125,17.75,154.27,4.3
Regular,FDX47,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,-171.216,6.55,158.83,4.3
Regular,FDL13,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,-171.308,13.85,232.73,4.3
Regular,FDA37,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,-171.399,7.81,122.6,4.3
Regular,FDP13,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,-171.491,8.1,41.95,4.3
Regular,FDQ25,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,-171.582,8.63,173.94,4.3
Regular,FDE14,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,-171.673,13.65,99.47,4.3
Regular,FDA01,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,-171.765,15,59.49,4.3
Regular,FDW38,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,-171.856,5.33,53.03,4.3
Regular,FDJ03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,-171.948,12.35,48.77,4.3
Regular,FDK03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,-172.039,12.6,255.94,4.3
Regular,FDC40,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,-172.13,16,78.5,4.3
Regular,FDT26,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,-172.222,18.85,121.04,4.3
Regular,FDM16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-172.313,8.16,76.24,4.3
Regular,FDH05,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-172.405,14.35,232.7,4.3
Regular,FDO31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-172.496,6.76,80.7,4.3
Regular,FDN08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-172.588,7.72,117.75,4.3
Regular,FDC33,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-172.679,8.96,196.58,4.3
Regular,FDO08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-172.77,11.1,165.55,4.3
Regular,FDW19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-172.862,12.35,110.26,4.3
Regular,FDY20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-172.953,12.5,92.25,4.3
Regular,FDV19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-173.045,14.85,161.96,4.3
Regular,FDF45,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-173.136,18.2,59.99,4.3
Regular,FDQ27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,-173.227,5.19,102.9,4.3
Regular,FDY39,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,-173.319,5.31,181.96,4.3
Regular,FDM27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,-173.41,12.35,158.19,4.3
Regular,FDU51,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,-173.502,20.2,175.5,4.3
Regular,FDS45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-173.593,5.18,107.76,4.3
Regular,FDK10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-173.685,5.79,177.87,4.3
Regular,FDO46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-173.776,9.6,187.39,4.3
Regular,FDL57,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-173.867,15.1,257.33,4.3
Regular,FDS46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-173.959,17.6,118.18,4.3
Regular,DRC13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,-174.05,8.26,125.07,4.3
Regular,FDE23,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-174.142,17.6,46.71,4.3
low fat,DRJ01,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,-174.233,6.14,161.12,4.3
reg,FDA04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-174.324,11.3,259.2,4.3
reg,FDS31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-174.416,13.1,180.33,4.3
LF,FDX60,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-174.507,12.84,78,4.3
LF,FDM20,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-174.599,12.84,245.01,4.3
LF,FDW08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-174.69,12.84,106.03,4.3
LF,NCR50,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,-174.782,12.84,153.53,4.3
Low Fat,FDE24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-174.873,12.84,143.08,4.3
Low Fat,FDJ48,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-174.964,12.84,246.91,4.3
Low Fat,FDO60,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-175.056,12.84,43.31,4.3
Low Fat,FDR48,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-175.147,12.84,150.8,4.3
Low Fat,FDA13,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,-175.239,12.84,39.95,4.3
Low Fat,FDF50,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,-175.33,12.84,198.98,4.3
Low Fat,FDN02,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,-175.421,12.84,205.36,4.3
Low Fat,DRE15,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,-175.513,12.84,74.2,4.3
Low Fat,DRF27,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,-175.604,12.84,152.23,4.3
Low Fat,FDC17,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-175.696,12.84,208.99,4.3
Low Fat,FDH41,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-175.787,12.84,214.75,4.3
Low Fat,FDX28,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-175.879,12.84,100.7,4.3
Low Fat,FDB08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-175.97,12.84,160.16,4.3
Low Fat,FDC32,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-176.061,12.84,90.65,4.3
Low Fat,FDC44,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-176.153,12.84,115.75,4.3
Low Fat,FDD08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-176.244,12.84,37.85,4.3
Low Fat,FDD20,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-176.336,12.84,126.4,4.3
Low Fat,FDE08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-176.427,12.84,147.77,4.3
Low Fat,FDE57,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-176.518,12.84,140.62,4.3
Low Fat,FDL20,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-176.61,12.84,111.19,4.3
Low Fat,FDN20,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-176.701,12.84,169.55,4.3
Low Fat,DRK59,Hard Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,-176.793,12.84,233.96,4.3
Low Fat,NCQ17,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,-176.884,12.84,158.36,4.3
Low Fat,NCQ41,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,-176.976,12.84,194.58,4.3
Low Fat,NCC18,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,-177.067,12.84,173.24,4.3
Low Fat,NCH55,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,-177.158,12.84,125.2,4.3
Low Fat,NCL54,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,-177.25,12.84,176.91,4.3
Low Fat,NCO14,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,-177.341,12.84,46.21,4.3
Low Fat,NCX54,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,-177.433,12.84,105.36,4.3
Low Fat,FDI19,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-177.524,12.84,242.85,4.3
Low Fat,FDL43,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-177.616,12.84,78.47,4.3
Low Fat,FDN15,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-177.707,12.84,139.52,4.3
Low Fat,FDP15,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-177.798,12.84,255.43,4.3
Low Fat,FDQ39,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-177.89,12.84,189.98,4.3
Low Fat,FDT03,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-177.981,12.84,185.56,4.3
Low Fat,FDV51,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-178.073,12.84,166.18,4.3
Low Fat,FDY51,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-178.164,12.84,220.88,4.3
Low Fat,NCM43,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,-178.255,12.84,164.32,4.3
Low Fat,FDP33,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-178.347,12.84,254.27,4.3
Low Fat,FDV21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-178.438,12.84,124.87,4.3
Low Fat,DRD25,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,-178.53,12.84,113.29,4.3
Low Fat,DRE25,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,-178.621,12.84,94.41,4.3
Low Fat,DRF36,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,-178.713,12.84,190.68,4.3
Low Fat,DRG13,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,-178.804,12.84,164.75,4.3
Low Fat,DRK13,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,-178.895,12.84,197.01,4.3
Regular,FDN23,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,-178.987,12.84,145.84,4.3
Regular,FDS59,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,-179.078,12.84,110.16,4.3
Regular,FDZ35,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,-179.17,12.84,105.2,4.3
Regular,FDD38,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,-179.261,12.84,100.37,4.3
Regular,FDU01,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,-179.352,12.84,184.79,4.3
Regular,FDC29,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-179.444,12.84,112.72,4.3
Regular,FDD41,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-179.535,12.84,106.23,4.3
Regular,FDA08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-179.627,12.84,164.25,4.3
Regular,FDQ07,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-179.718,12.84,219.85,4.3
Regular,FDQ31,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-179.81,12.84,89.79,4.3
Regular,FDL03,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-179.901,12.84,197.71,4.3
Regular,FDO27,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-179.992,12.84,95.78,4.3
Regular,FDJ33,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-180.084,12.84,121.17,4.3
Regular,FDW09,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-180.175,12.84,80.23,4.3
Regular,FDZ21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-180.267,12.84,95.64,4.3
Regular,DRZ11,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,-180.358,12.84,123.04,4.3
Low Fat,FDF32,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,-180.449,16.35,196.44,4.2
Regular,FDN22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-180.541,18.85,250.87,4.2
Low Fat,NCS17,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,-180.632,18.6,96.44,4.2
Low Fat,FDK43,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,-180.724,9.8,126,4.2
Low Fat,FDM40,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-180.815,10.2,141.52,4.2
Regular,FDN33,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-180.907,6.31,95.64,4.2
Regular,FDW39,Meat,2018,OUT019,Tier 1,Small,Grocery Store,-180.998,12.84,176.94,4.2
LF,DRJ13,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,-181.089,12.65,159.06,4.2
Low Fat,DRI49,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,-181.181,14.15,82.43,4.2
Low Fat,FDS52,Frozen Foods,2011,OUT010,Tier 3,Small,Grocery Store,-181.272,8.89,101.7,4.2
Low Fat,NCX54,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,-181.364,9.2,105.16,4.2
Regular,FDI16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,-181.455,14,53.06,4.2
Regular,FDM22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-181.546,14,54.76,4.2
Low Fat,NCO17,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,-181.638,12.84,117.94,4.2
Regular,FDK58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-181.729,11.35,100,4.2
Regular,FDA08,Fruits and Vegetables,2015,OUT045,Tier 2,Small,Supermarket Type1,-181.821,11.85,164.15,4.2
Low Fat,DRC27,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,-181.912,13.8,245.18,4.2
Regular,FDL58,Snack Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,-182.004,5.78,263.76,4.2
Low Fat,DRJ51,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,-182.095,14.1,229.07,4.2
Regular,FDY03,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,-182.186,17.6,110.92,4.2
Low Fat,FDG29,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-182.278,17.6,43.35,4.2
Low Fat,DRP47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,-182.369,15.75,250.54,4.2
Low Fat,FDB53,Frozen Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,-182.461,13.35,147.54,4.2
reg,FDM01,Breakfast,2020,OUT017,Tier 2,Small,Supermarket Type1,-182.552,7.9,104.43,4.2
Low Fat,FDJ22,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,-182.643,12.84,190.95,4.2
Regular,FDR59,Breads,2015,OUT045,Tier 2,Small,Supermarket Type1,-182.735,14.5,260.46,4.2
Low Fat,FDH27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,-182.826,7.08,142.21,4.2
Low Fat,NCW53,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,-182.918,12.84,193.82,4.2
Low Fat,FDW24,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,-183.009,12.84,48.9,4.2
Regular,FDF11,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,-183.101,10.2,239.65,4.2
Low Fat,FDZ27,Dairy,2015,OUT045,Tier 2,Small,Supermarket Type1,-183.192,7.94,51.54,4.2
Regular,FDL51,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,-183.283,20.7,213.49,4.2
Low Fat,FDX08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,-183.375,12.85,181.43,4.2
Low Fat,DRH15,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,-183.466,8.78,45.94,4.2
Low Fat,FDS26,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,-183.558,12.84,260.56,4.2
Regular,FDT09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-183.649,15.15,132.53,4.2
Low Fat,FDK41,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-183.74,14.3,84.92,4.2
Low Fat,FDN09,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,-183.832,14.15,243.98,4.2
Low Fat,FDK24,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-183.923,9.2,43.67,4.2
Regular,FDW31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-184.015,11.35,201.07,4.2
Regular,FDL48,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,-184.106,19.35,49.2,4.2
Regular,FDB38,Canned,2018,OUT019,Tier 1,Small,Grocery Store,-184.198,12.84,160.69,4.2
Regular,FDW44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,-184.289,9.5,171.34,4.2
Low Fat,FDE22,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,-184.38,12.84,157.89,4.2
LF,NCU41,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,-184.472,18.85,189.18,4.2
Low Fat,FDL46,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-184.563,12.84,117.75,4.2
Low Fat,FDB21,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,-184.655,7.48,240.69,4.2
Low Fat,NCJ42,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,-184.746,19.75,103.03,4.2
Low Fat,FDJ08,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,-184.837,11.1,191.78,4.2
Low Fat,FDB16,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,-184.929,8.21,89.22,4.2
Regular,FDJ55,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,-185.02,12.8,226.84,4.2
Low Fat,NCZ06,Household,2018,OUT019,Tier 1,Small,Grocery Store,-185.112,12.84,255.27,4.2
Low Fat,FDM14,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,-185.203,13.8,106.93,4.2
Low Fat,FDA23,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,-185.295,9.8,100.6,4.2
Low Fat,FDW49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,-185.386,19.5,179.8,4.2
Low Fat,DRK23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,-185.477,8.4,253.7,4.2
Regular,FDV56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-185.569,12.84,106.26,4.2
Low Fat,DRK39,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,-185.66,7.02,82.23,4.2
